Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),1.1: Q1_a (3.0 pts),1.2: Q1_b (3.0 pts),2.1: Q2 (81 to b2) (2.0 pts),2.2: Q2 (81 to b16) (2.0 pts),2.3: Q2 (1010111 to b10) (2.0 pts),2.4: Q2 (1010111 to b16) (2.0 pts),2.5: Q2 (2F to b10) (2.0 pts),2.6: Q2 (2F to b2) (2.0 pts),3.1: Q3_1 (2.0 pts),3.2: Q3_2 (2.0 pts),3.3: Q3_3 (2.0 pts),3.4: Q3_4 (2.0 pts),3.5: Q3_5 (2.0 pts),3.6: Q3_6 (2.0 pts),4: Q4 (15.0 pts),5: Q5 (25.0 pts),6: Q6 (30.0 pts)
76,100,Graded,3/7/2023 17:05,00:00:00,0,0,2,2,2,2,2,2,2,0,0,2,2,2,12,25,19
94,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,24
93,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,26
100,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
95,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,28
85,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,0,2,2,2,2,2,2,2,2,2,10,25,25
73,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,24,6
89,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,21
76,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,0,2,2,2,10,25,18
43,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,0,0,0,0,0,2,0,2,0,2,2,4,23,0
91,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,24
91,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,0,0,2,2,2,2,15,25,28
97,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
87,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,13,25,24
97,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,24,30
99,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,1,2,2,2,2,15,25,30
86,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,24,22
85,100,Graded,3/7/2023 17:05,00:00:00,3,3,0,0,2,2,2,2,2,2,2,2,2,2,13,24,22
69,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,0,2,2,2,5,25,11
79,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,8,25,16
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,0,2,2,2,2,2,2,2,2,15,25,24
76,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,2,2,2,2,2,2,2,2,2,5,24,19
63,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,10,20,5
64,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,0,2,2,0,2,2,0,0,5,19,21
96,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,0,2,0,2,2,2,2,2,2,2,2,15,25,30
80,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,25,26
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,7,25,30
64,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,15,15,9
58,100,Graded,3/7/2023 17:05,00:00:00,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,25,11
100,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
89,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,0,2,2,2,2,2,2,2,2,13,25,23
98,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,28
39,100,Graded,3/7/2023 17:05,00:00:00,3,3,0,2,0,0,2,0,2,0,0,0,2,2,0,23,0
97,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,27
